Authors,Year,Title,Other_Info,Link
"Karanth K.U., Kumar N.S., Karanth, K.K",2020,Tigers Against the Odds: Applying Macro- Ecology to Species Recovery in India,Biological Conservation,https://www.sciencedirect.com/science/article/pii/S0006320720309046?via%3Dihub
"Jayadevan, A., Nayak, R., Karanth, K. K., Krishnaswamy, J., DeFries, R., Karanth, K.U., Vaidyanathan, S",2020,Navigating paved paradise: Evaluating landscape permeability to movement for large mammals in two conservation priority landscapes in India,"Biological Conservation, 247,108613",https://doi.org/10.1016/j.biocon.2020.108613
"Jathanna, D., Kumar, S., N., Karanth, K., U",2020,"Summary and highlights of small carnivore photo-captures during a field season in the central Western Ghats, India","Small Carnivore Conservation, vol. 58, e58017. ISSN 5041",https://www.researchgate.net/publication/344899514_Summary_and_highlights_of_small_carni
"Kumar, A.V., Karanth, K.U., Jathanna, D",2020,Tigers and leopards coexist despite similarities in space use and habitat selection,Cat News (Spring),https://www.researchgate.net/publication/342946553_Tigers_and_leopards_coexist_despite_similarities_in_space_use_and_habitat_selection
"Nayak, R., Karanth, K. K., Dutta, T., De Fries, R., Karanth, K.U., Vaidyanathan, S",2020,Bits and pieces: Forest Fragmentation by Linear Intrusions in India,Land Use Policy,https://doi.org/10.1016/j.landusepol.2020.104619
"Athreya, V., Isvaran, K., Odden, M., Linnell, J. D., Kshettry, A., Krishnaswamy, J., Karanth, K.U",2020,"The impact of leopards (Panthera pardus) on livestock losses and human injuries in a human-use landscape in Maharashtra, India",PeerJ,https://peerj.com/articles/8405/
"Gopalaswamy M. A., Karanth K. U., Delampady M., Stenseth C. N",2019,How sampling- based overdispersion reveals India’s tiger monitoring orthodoxy,Conservation Science and Practice. doi,https://conbio.onlinelibrary.wiley.com/doi/full/10.1111/csp2.128
"Dey, S., Delampady, M., Karanth, K.U. and Gopalaswamy, A.M",2019,A spatially explicit capture-recapture model for partially identified individuals when trap detection rate is less than one,"Calcutta Statistical Association (Bulletin), Vol. 71 (1):1-20",https://journals.sagepub.com/doi/pdf/10.1177/0008068319837087
"Ahrestani, F., Kumar, N.S., Vaidyanathan, S., Hiby, L., Jathanna, D., Karanth, K.U",2018,Estimating densities of large herbivores in tropical forests: Rigorous evaluation of a dung-based method,Ecology and Evolution,Https://Doi.org/10.1002/Ece3.4227
"Gardner, B., Sollman, R., Kumar, N.S., Jathanna, D., Karanth, K.U",2018,State space and movement specification in open population spatial capture–recapture models,Ecology and Evolution,Https://Doi.org/10.1002/Ece3.4509
"Srivathsa, A., Puri, M., Kumar, N.S., Jathanna, D., Karanth, K.U",2017,Substituting space for time: Empirical evaluation of spatial replication as a surrogate for temporal replication in occupancy modelling,Journal of Applied Ecology. 55: 754–765,Https://Doi.org/10.1111/1365-2664.13005
"Dorazio RM, Karanth, K.U",2017,A hierarchical model for estimating the spatial distribution and abundance of animals detected by continuous-time recorders,PLoS ONE 12(5): e0176966,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0176966
"Dey, S., Delampady, M., Ravishankar, P., Kumar, S.N., Srivathsa, A., and Karanth, K.U",2017,Bayesian Methods for Estimating Animal Abundance at Large Spatial Scales Using Data from Multiple Sources,Journal of Agricultural Biological and Environmental Statistics. doi: 10.1007/s13253-017-0276-7,https://link.springer.com/article/10.1007/s13253-017-0276-7
"Karanth, K.U., Srivathsa, A., Vasudev, D., Puri, M., Parameshwaran, R., and Kumar, S.N",2017,Spatio-temporal interactions facilitate large carnivore sympatry across a resource gradient,"Proceedings of the Royal B, 284: 20161860",https://doi.org/10.1098/rspb.2016.1860
"Srivathsa, A., Kumar, S.N. and Karanth, K.U",2017,Home range size of the dhole from camera-trap surveys,"Canid Biology & Conservation, 20(1), 4",https://www.researchgate.net/publication/312660956_Field_report_Home_range_size_of_the_dhole_estimated_from_camera-_trap_surveys
"Muthanna, P.M., Vasudev, D. & Karanth, K.U",2017,"Leveraging public funding to secure a protected area in the Western Ghats, India","Oryx, 51(1), 17",https://doi.org/10.1017/S0030605316001459
"Karanth, K.U",2016,Tracking Tigers: The trouble with Tiger Numbers (2016),"Scientific American. July, 315 (1). numbers/#:~:text=The%20officials%20assumed%20that%20just,differentiate%20and%20can%2 0go%20undiscovered",https://www.scientificamerican.com/article/the-trouble-with-tiger-
"Duangchantrasiri, S., Umponjan, M., Simcharoen, S., Pattanavibool, A., Chaiwattana, S., Maneerat, S., Kumar, N. S., Jathanna, D., Srivathsa, A., Karanth, K.U",2016,Dynamics of a low-density source population of tigers in Southeast Asia in the context of improved law enforcement,Conservation Biology,https://doi.org/10.1111/cobi.12655
"Goodrich, J., Lynam, A., Miquelle, D., Wibisono, H., Kawanishi, K., Pattanavibool, A., Htun, S., Tempa, T., Karki, J., Jhala, Y. & Karanth, U",2015,Panthera tigris,The IUCN Red List of Threatened Species 2015: e.T15955A50659951,
"Creel, S., Becker, M., Christianson, D., Dröge, E., Hammerschlag, N., Hayward, M. W., Karanth, K.U., Loveridge, A., Macdonald, D. W., Matandiko, W., M’soka, J., Murray, D., Rosenblatt, E., Schuette, P",2015,Questionable Policy for Large Carnivore Hunting,Science,https://www.science.org/doi/10.1126/science.aac4768
"Hayward, M. W., Boitani, L., Burrows, N. D., Funston, P. J., Karanth, K.U., MacKenzie, D. I., Yarnell, R. W",2015,"Ecologists need robust survey designs, sampling and analytical methods","Journal of Applied Ecology, 52 (2): 290",https://doi.org/10.1111/1365-2664.12408
"Puri, M., Srivathsa, A., Karanth, K. K., Kumar, N. S., Karanth, K.U",2015,Multiscale distribution models for conserving widespread species: The case of sloth bear Melursus ursinus in India,"Diversity and Distributions, 1–14",https://doi.org/10.1111/ddi.12335
"Gopalaswamy, A. M., Delampady, M., Karanth, K.U., Kumar, N. S., Macdonald, D. W",2015,An examination of index-calibration experiments: Counting tigers at macroecological scales,"Methods in Ecology and Evolution, 6 (9): 1066",https://doi.org/10.1111/2041-210X.12351
"Jathanna, D., Karanth, K.U., Kumar, N. S., Goswami, V. R., Vasudev, D., Karanth, K. K",2015,Reliable monitoring of elephant populations in the forests of India: Analytical and practical considerations,"Biological Conservation, 187, 220",https://doi.org/10.1016/j.biocon.2015.04.030
"Athreya, V., Srivathsa, A., Puri, M., Karanth, K. K., Kumar, N. S., Karanth, K.U",2015,"Spotted in the News: Using Media Reports to Examine Leopard Distribution, Depredation, and Management Practices outside Protected Areas in Southern India","PLoS ONE, 10(11), e0142647",https://doi.org/10.1371/journal.pone.0142647
"Lakshminarayanan, N., Karanth, K. K., Goswami, V. R., Vaidyanathan, S., Karanth, K.U",2015,Determinants of dry season habitat used by Asian elephants in the Western Ghats of India,Journal of Zoology,https://doi.org/10.1111/jzo.12298
"Jathanna, D., Karanth, K.U., Kumar, N. S., Karanth, K. K., Goswami, V. R",2015,": Patterns and determinants of habitat occupancy by the Asian elephants in the Western Ghats of Karnataka, India","PLoS ONE, 10(7): e0133233",https://doi.org/10.1111/jzo.12298
"Srivathsa, A., Parameshwaran, R., Sharma, S., Karanth, K.U",2015,Estimating population sizes of leopard cats in the Western Ghats using camera surveys,Journal of Mammalogy,https://doi.org/10.1093/jmammal/gyv079
"Athreya, V., Odden, M., Linnell, J. D. C., Krishnaswamy, J., Karanth, K.U",2014,"A cat among the dogs: Leopard Panthera pardus diet in a human-dominated landscape in western Maharashtra, India","Oryx, 1 - 7",https://doi.org/10.1017/S0030605314000106
"Mondol, S., Kumar, N. S., Gopalaswamy, A., Sunagar, K., Karanth, K.U., Ramakrishnan, U",2014,"Identifying species, sex and individual tigers and leopards in the Malenad- Mysore Tiger Landscape, Western Ghats, India","Conservation Genetics Resources, 9",https://link.springer.com/article/10.1007/s12686-014-0371-9
"Karanth, K.U., Kumar, N., Vasudev, D",2014,Photographic database informs management of conflict tigers,"Oryx, 48(04): 484",https://doi.org/10.1017/S0030605314000532
"Ahrestani, F. and Karanth, K.U",2014,Gaur Bos gaurus,"In Ecology, Evolution and Behavior of Wild Cattle: Implications for Conservation. M. Melletti and J. Burton (Editors). Cambridge University Press, UK",https://doi.org/10.1017/CBO9781139568098.013
"Srivathsa, A., Karanth, K.K., Jathanna, D., Kumar, N.S., Karanth, K.U",2014,On a Dhole Trail: Examining Ecological and Anthropogenic Correlates of Dhole Habitat Occupancy in the Western Ghats of India,PLoS ONE 9(6): e98803,https://doi.org/10.1371/journal.pone.0106213
"Athreya, V., Navya, R., Punjabi, G. A., Linnell, J. D. C., Odden, M., Khetarpal, S., Karanth, K.U",2014,Movement and activity pattern of a collared tigress in a human- dominated landscape in central India,Tropical Conservation Science Vol.7 (1): 86,https://doi.org/10.1177/194008291400700111
"Jones, J. P. G., Asner G. P., Butchart S. H. M., Karanth, K.U",2013,"The ‘why’, ‘what’ and ‘how’ of monitoring for conservation",In Key Topics of Conservation Biology 2. Oxford University Press (Editors: David MacDonald and Katherine Wills). Pages 343,https://onlinelibrary.wiley.com/doi/10.1002/9781118520178.ch18
"Athreya, V., Odden, M., Linnell, J. D. C., Krishnaswamy, J., Karanth, K.U",2013,Big cats in our backyards: Persistence of large carnivores in a human dominated landscape in India,PLoS ONE: 8(3): e57872,https://doi.org/10.1371/journal.pone.0057872
"Karanth, K.U., Gopalaswamy, A. M., Karanth, K. K., Goodrich, J., Seidensticker, J., Robinson, J. G",2013,Sinks as saviors: Why flawed inference cannot assist tiger recovery,"Proceedings of the National Academy of Science, USA",https://doi.org/10.1073/pnas.1216623110
"Gopalaswamy, A. M., Royle, J. A., Hines, J. E., Singh, P., Jathanna, D., Kumar, N. S., Karanth, K.U",2012,Program SPACECAP: software for estimating animal density using spatially explicit capture-recapture models,"Methods in Ecology and Evolution, 3 (6): 1067- 1072",https://doi.org/10.1111/j.2041-210X.2012.00241.x
"Karanth, K.U., Karanth, K. K",2012,A tiger in the drawing room: Can luxury tourism benefit wildlife,Economic and Political Weekly Sept 22nd. 43,https://www.epw.in/journal/2012/38/perspectives/tiger-drawing-room.html
"Gopalaswamy, A. M., Karanth, K.U., Kumar, N. S., Macdonald, D. W",2012,Estimating Tropical Forest Ungulate Densities from Sign Surveys using Abundance Models of Occupancy,Animal Conservation,https://doi.org/10.1111/j.1469-1795.2012.00565.x
"Gopalaswamy, A. M., Royle, J. A., Delampady, M., Nichols, J. D., Karanth, K.U., Macdonald, D. W",2012,Density Estimation in Tiger Populations: Combining Information for Strong Inference,Ecology 93:1741-1751,https://doi.org/10.1890/11-2110.1
"Goswami, V.R., Lauretta, M., Madhusudan, M.D., Karanth, K.U",2012,Optimizing individual identification methods and sampling effort for estimation of Asian elephant abundance using photographic capture-recapture sampling,Animal Conservation,https://doi.org/10.1890/11-2110.1
"Karanth, K.U., Gopalaswamy, A. M., Kumar, N. S., Delampady, M., Nichols, J. D., Seidensticker, J., Noon, B. R., Pimm, S. L",2011,Counting India’s Wild Tigers Reliably,Science 332: 791,https://doi.org/10.1126/science.332.6031.791-a
"Karanth, K.U., Gopalaswamy, A. M., Kumar, N. S., Vaidyanathan, S., Nichols, J. D., MacKenzie, D. I",2011,Monitoring Carnivore Populations At The Landscape Scale,Journal of Applied Ecology,https://doi.org/10.1111/j.1365-2664.2011.02002.x
"Karanth, K.U",2011,India’s Tiger Counts: The Long March to Reliable Science,Economic and Political Weekly. 18:22-25,https://www.jstor.org/stable/41152336
"Athreya, V., Odden, M., Linnell., J. D. C., Karanth, K.U",2010,Translocation as a tool for mitigating conflicts with leopards in human-dominated landscapes of India,Conservation Biology,https://doi.org/10.1111/j.1523-1739.2010.01599.x
"Walston, J., Robinson, J. G., Bennett, E. L., Breitenmoser, U., da Fonseca, G. A. B., Goodrich, J., Gumal, M., Hunter, L., Johnson, A., Karanth, K. U., Williams, N., MacKinnon, K., Miquelle, D., Pattanavibool, A., Poole, C., Rabinowitz, A., Smith, J. L. D., Stokes, E. J., Stuart, S. N., … Wibisono, H",2010,Bringing the Tiger Back from the Brink—The Six Percent Solution,"PLoS Biology, 8(9), e1000485",https://doi.org/10.1371/journal.pbio.1000485
"Karanth, K. K., Nichols, J. D., Karanth, K.U., Hines, J. E., Christensen, N. L",2010,The shrinking ark: Patterns of large mammal extinctions in India,Proceedings of the Royal Society B. 277: 1979,https://doi.org/10.1098/rspb.2010.0171
"Hines, J. E., Nichols, J. D., Royle, J. A., MacKenzie D. I., Gopalaswamy, A. M., Kumar N.S., Karanth, K.U",2010,Tigers on trails: Occupancy modeling for cluster sampling,Ecological Applications 20:1456-1466,https://doi.org/10.1890/09-0321.1
"Singh, P., Gopalaswamy, A. M., Karanth, K.U",2010,Factors influencing ecological densities of striped hyenas in arid regions of India,Journal of Mammalogy 91: 1159,https://doi.org/10.1644/09-MAMM-A-159.1
"Karanth K. K., Nichols J. D., Hines J. E., Karanth K.U., Christensen N.L",2009,Patterns and determinants of mammal species occurrence in India,Journal of Applied Ecology 46:1189-1200,https://doi.org/10.1111/j.1365-2664.2009.01710.x
"Mondol S., Karanth K. U., Ramakrishnan U",2009,Why India holds the genetic key to tiger recovery,PLoS Genetics 5:1-9,https://doi.org/10.1371/journal.pgen.1000585
"Mondol, S., Karanth K. U., Kumar, N.S. Gopalaswamy A. M., Andheria A., Ramakrishnan U",2009,Evaluation of non-invasive genetic sampling methods for estimating tiger population size,Biological Conservation 142:2350-2360,https://doi.org/10.1016/j.biocon.2009.05.014
"Royle J. A., Nichols J. D., Karanth K. U., Gopalaswamy A. M., Kumar, N. S",2009,Bayesian inference in camera trapping studies for a class of capture-recapture models,Ecology 90:3233- 3244,https://doi.org/10.1890/08-1481.1
"Royle J. A., Nichols J. D., Karanth K. U., Gopalaswamy A. M",2009,A hierarchical model for estimating density in camera-trap studies,Journal of Applied Ecology 46:118-127,https://doi.org/10.1111/j.1365-2664.2008.01578.x
"Hiby L., Lovell P., Patil N., Kumar N.S., Gopalaswamy A. M., Karanth K. U",2009,A tiger cannot change its stripes: using a three-dimensional model to match images of living tigers and tiger skins,Biology Letters 5: 386,https://doi.org/10.1098/rsbl.2009.0028
"Marniwicke K, Funston P. J., Karanth K. U",2008,Evaluating camera-trapping as a method for estimating cheetah abundance in ranching areas,South African Journal of Wildlife Research 38:59-65,https://doi.org/10.3957/0379-4369-38.1.59
"Jathanna D., Kumar, N. S., Karanth K. U",2008,Measuring Indian giant squirrel (Ratufa indica) abundance using distance sampling,Current Science 9:885-888,
". Andheria, A., Karanth, K.U., Kumar, N.S",2007,Diet and prey profiles of three sympatric large carnivores in Bandipur Tiger Reserve in India,"Journal of Zoology, 273: 175",https://www.jstor.org/stable/24103185
"Goswami, V. R., Madhusudan. M. D., Karanth. K. U",2007,Application of photo capture- recapture modeling to estimate demographic parameters for male Asian elephants,Animal Conservation 10:391-399,https://doi.org/10.1111/j.1469-1795.2007.00124.x
"Ranganathan, J., Chan, K. M. A., Karanth K. U., Smith, J. L. D",2007,"Where can tigers persist in the future? A landscape scale, density-based population model for the Indian subcontinent",Biological Conservation 141:67-77,https://doi.org/10.1016/j.biocon.2007.09.003
"Das, A., Krishnaswamy, J., Bawa, K. S., Kiran, M. C., Srinivas, V., Kumar, N. S. and Karanth, K.U",2006,"Prioritization of conservation areas in the Western Ghats, India",Biological Conservation 133: 31,https://doi.org/10.1016/j.biocon.2006.05.023
"Karanth, K.U., Nichols, J. D., Kumar, N. S. and Hines, J. E",2006,Assessing tiger population dynamics using photographic capture-recapture sampling,Ecology 87: 2925- 2937,https://doi.org/10.1890/0012-9658(2006)87[2925:ATPDUP]2.0.CO;2
"Krishnaswamy, J., Bunyan, M., Mehta, V. K., Jain, N. and Karanth, K.U",2006,"Impact of iron ore mining on suspended sediment response in a tropical catchment in Kudremukh, Western Ghats, India",Forest Ecology and Management 224: 198,https://doi.org/10.1016/j.foreco.2005.12.018
"Karanth, K.U., Chundawat, R. S., Nichols, J. D. and Kumar, N. S",2004,"Estimation of tiger densities in the tropical dry forests of Panna, central India, using photographic capture- recapture sampling",Animal Conservation 7: 290,https://doi.org/10.1017/S1367943004001477
"Karanth, K.U., Nichols, J. D., Kumar, N. S., , W. A. and Hines, J. E",2004,Tigers and their prey: predicting carnivore densities from prey abundance,"Proceedings of the National Academy of Sciences, USA, 101: 4858",https://doi.org/10.1073/pnas.0306210101
"McDougal, C., Hean, S., Huang, S., Pan, W., Karanth, K.U., Sunquist, M., Smith, J. L. D. and O’Brien, S",2004,Phylogeography and genetic ancestry of tigers (Panthera tigris),PLoS Biology 2: 2293,https://doi.org/10.1371%2Fjournal.pbio.0020442
"Damania, R., Stringer, R., Karanth, K.U. and Stith, B",2003,The economics of protecting tiger populations: Linking household behavior to poaching and prey depletion,Land Economics 79: 216,https://dx.doi.org/10.2139/ssrn.295494
"Jathanna, D., Karanth, K.U. and Johnsingh, A. J. T",2003,Estimation of large herbivore densities in the tropical forests of southern India using distance sampling,"Journal of Zoology, London 261: 290",https://doi.org/10.1017/S0952836903004278
"Karanth, K.U",2003,Debating conservation as if reality matters,Conservation and Society 1: 68,https://www.jstor.org/stable/26396452
"Karanth, K.U",2003,Tiger ecology and conservation in the Indian subcontinent,Journal of the Bombay Natural History Society 100: 189,https://biostor.org/reference/152000
"Karanth, K.U., Nichols, J. D., Seidensticker, J., Dinerstein, E., Smith, J. L. D., McDougal, C., Johnsingh, A. J. T., Chundawat, R. S and Thapar, V",2003,Science deficiency in conservation practice: The monitoring of tiger populations in India,Animal Conservation 6: 146,https://doi.org/10.1017/S1367943003003184
"Treves, A. and Karanth, K.U",2003,Human-carnivore conflict: Local solutions with global applications,Conservation Biology 17: 1490,https://doi.org/10.1111/j.1523-1739.2003.00115.x
"Madhusudan, M. D. and Karanth, K.U",2002,Local hunting and the conservation of large mammals in India,Ambio 31: 54,https://www.jstor.org/stable/4315210
"Karanth, K.U. and Sunquist, M. E",2000,"Behavioural correlates of predation by tiger, leopard and dhole in Nagarahole, India","Journal of Zoology, London 250: 265",https://doi.org/10.1111/j.1469-7998.2000.tb01076.x
"Karanth, K.U. and Nichols, J. D",1998,Estimating tiger densities in India from camera trap data using photographic captures and recaptures,Ecology 79: 2862,https://doi.org/10.1890/0012-9658(1998)079[2852:EOTDII]2.0.CO;2
"Wikramanayake, E. D., Dinerstein, E., Robinson, J. G., Karanth, K.U, Rabinowitz, A., Olson, D., Mathew, T., Hedao, P., Conner, M., Hemley, G. and Bolze, D",1998,An ecology-based,,
"Karanth, K.U. and Madhusudan, M. D",1997,Avoiding paper tigers and saving real tigers: Response to Saberwal,Conservation Biology 11: 820,https://www.jstor.org/stable/2387447
"Karanth, K.U",1995,Estimating tiger populations from camera-trap data using capture- recapture models,Biological Conservation 71: 338,https://doi.org/10.1016/0006-3207(94)00057-W
"Karanth, K.U. and Sunquist, M. E",1995,"Prey selection by tiger, leopard and dhole in tropical forests",Journal of Animal Ecology 64: 450,https://www.jstor.org/stable/5647
", W. A. and Karanth, K.U",1994,Correcting for overdispersion in testing for prey selectivity,Ecology 75: 2459,https://www.jstor.org/stable/1940899
"Karanth, K.U",1992,Conservation prospects for lion-tailed macaques in Karnataka,Zoo Biology 11: 41,https://doi.org/10.1002/zoo.1430110105
"Karanth, K.U. and Sunquist, M. E",1992,"Population structure, density and biomass of large herbivores in the tropical forests of Nagarahole, India",Journal of Tropical Ecology 8: 35,https://www.jstor.org/stable/2559806
"Karanth, K.U",1988,Analysis of predator - prey balance in Bandipur Tiger Reserve with reference to census reports,Journal of the Bombay Natural History Society 85: 8,https://biostor.org/reference/153382
"Karanth, K.U",1986,Status of wildlife and habitat conservation in Karnataka,Journal of the Bombay Natural History Society 83: 179,https://core.ac.uk/download/pdf/291582652.pdf
"Karanth, K.U",1985,Ecological status of the lion-tailed macaque and its rainforest habitats in Karnataka,Primate Conservation 6: 84,http://repository.ias.ac.in/89440/
"Karanth, K.U",1982,Bhadra wildlife sanctuary and its endangered ecosystem,Journal of the Bombay Natural History Society 79: 86,https://core.ac.uk/download/pdf/291582651.pdf
